,btc_return,gold_return,usd_return,btc_momentum,btc_volatility,btc_volume_mean,gold_momentum,gold_volatility,usd_momentum,usd_volatility,target,btc_return_lag_1,btc_return_lag_2,btc_return_lag_3,btc_return_lag_6,btc_return_lag_12,btc_volatility_lag_12,btc_return_lag_24,btc_volatility_lag_24,btc_return_rolling_mean_3,btc_return_rolling_std_3,btc_return_rolling_mean_6,btc_return_rolling_std_6,btc_return_rolling_mean_12,btc_return_rolling_std_12,btc_return_rolling_mean_24,btc_return_rolling_std_24,btc_gold_corr_6h,btc_usd_corr_6h,btc_gold_spread,btc_gold_momentum_diff,btc_volatility_sqrt,btc_momentum_sq,log_btc_volume,vol_mom_ratio,risk_on,risk_off,high_vol_regime,trend_regime
count,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,103988.0,103999.0,103998.0,103997.0,103994.0,103988.0,103988.0,103976.0,103976.0,103998.0,103998.0,103995.0,103995.0,103989.0,103989.0,103977.0,103977.0,9792.0,9012.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0,104000.0
mean,2.7106014998081236e-06,1.9110578963653176e-06,6.789172057279102e-08,2.739553824230645e-06,0.0004963033494360515,104.34128958333334,1.8785380813833212e-06,0.0002272781944561837,6.681303019474223e-08,8.599629806934336e-05,0.0004558968858833255,2.7052837793162252e-06,2.6958097635192016e-06,2.697675446777901e-06,2.7043807496564703e-06,2.725058916321604e-06,0.0004962325443420447,2.730784587166319e-06,0.0004961532680480767,2.7048628704454702e-06,0.0003985635415811691,2.7048873905500983e-06,0.0004345444835844493,2.713580379634892e-06,0.00045589661666692923,2.7116189984259404e-06,0.00047309853903620134,-0.01686959694956189,0.0005021529491662445,7.995436034428062e-07,8.610157428473229e-07,0.021311959862961274,7.533013394778788e-09,4.432715682814799,0.0039040100709777574,0.003875,0.003951923076923077,0.4806923076923077,0.5001634615384616
std,0.0007040151126653552,0.00040918601239795394,0.00015346055997430863,8.675010432832264e-05,0.0004998314487506224,85.6759540551021,5.2644474783703136e-05,0.0003403600224398333,1.9748229932855838e-05,0.00012710968863930338,0.0005384832908604712,0.0007040164087149693,0.000704013163877337,0.0007040162915838997,0.0007040234072738614,0.0007040107584085341,0.0004998167808433883,0.0007039811706346527,0.0004997908091953894,0.00040349528541010996,0.0005834341182638212,0.0002837998807879064,0.0005561460544559522,0.00019833494680256253,0.0005384807086917851,0.0001387989809456573,0.0005227694854796778,0.4991950931548988,0.5006774954898852,0.0008396831397820862,0.00010523871241596041,0.0064887688418449,6.022776502282558e-08,0.6472958981410952,0.11651813027222002,0.0621290712194481,0.06274028395194986,0.49962947601447094,0.5000023771436857
min,-0.0790647496939898,-0.021819183575973344,-0.012825715125755699,-0.0013805248461339625,0.0,0.0,-0.0003727007599299022,0.0,-0.0002154526934236567,0.0,0.0,-0.0790647496939898,-0.0790647496939898,-0.0790647496939898,-0.0790647496939898,-0.0790647496939898,0.0,-0.0790647496939898,0.0,-0.026637012481150024,0.0,-0.013446971907958091,0.0,-0.006681339299250614,0.0,-0.003333133389637463,0.0,-0.9999859123711617,-0.9998616800727556,-0.08840016900863423,-0.0015361151680447032,0.0,0.0,0.0,-0.43096969714706423,0.0,0.0,0.0,0.0
25%,-0.00023630608334004877,0.0,0.0,-3.086663106386574e-05,0.00031183036862373725,52.85,-1.6575285079728497e-05,5.7688621453118194e-05,-6.76113688716969e-06,1.946632728582135e-05,0.00027357123672074827,-0.00023630653260847678,-0.0002363069818769048,-0.00023630743114533281,-0.00023630532002197335,-0.0002362995929913736,0.0003118247399057789,-0.00023628196756736441,0.00031180192281501863,-0.00014039599343966996,0.00017907511703356044,-0.0001008970045860147,0.0002410232278998754,-7.09056356508105e-05,0.0002735729881954594,-5.018043398348493e-05,0.00029261871075894077,-0.415319997745703,-0.39906953348437146,-0.00024001692274852604,-3.658466157237758e-05,0.017658719336945728,2.2538830996597302e-10,3.9862024036023977,-0.07876238308987835,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,1.473510582156168e-06,0.0004068950827159245,77.4,0.0,0.00014120228590491793,0.0,5.318053458105961e-05,0.0003777346146238282,0.0,0.0,0.0,0.0,0.0,0.0004068793625979755,0.0,0.0004068618470282819,1.793169353743925e-09,0.0003084313853064607,0.0,0.0003558432185853144,0.0,0.00037773859697143276,2.600247661632693e-08,0.00039323743122851216,-0.023675096271049318,-0.00885782545404068,0.0,9.768265227657245e-07,0.020171640555883143,1.0455950036450335e-09,4.361823927356363,0.003852567558650273,0.0,0.0,0.0,1.0
75%,0.0002387144529890084,0.0,0.0,3.373618265774166e-05,0.0005488193278475373,124.08749999999999,1.9661043325073604e-05,0.00027193589301452507,7.595012016418471e-06,0.00011101557473484783,0.0005320609538335409,0.00023869444464696965,0.000238672531328199,0.0002386771979296931,0.00023870306800560792,0.0002387144529890084,0.0005486944845102667,0.00023866319812521075,0.0005485745309565022,0.00014270101926240158,0.0005028903688575974,0.00010324904741070469,0.0005225325119732158,7.385052751573973e-05,0.0005320542428975586,5.282926177636871e-05,0.0005348626758594913,0.3822911612478628,0.40021095507996185,0.00024183846599151737,4.036322920829792e-05,0.023426893260640968,3.5246069458940377e-09,4.829013490752313,0.08484254718969655,0.0,0.0,1.0,1.0
max,0.06547883971592783,0.03752448870196967,0.013802379151481636,0.001121748719531157,0.010235909201486688,925.9666666666667,0.0006254081450328279,0.004853868014564749,0.00023765935746925538,0.0017846155459653808,0.0228961496111492,0.06547883971592783,0.06547883971592783,0.06547883971592783,0.06547883971592783,0.06547883971592783,0.010235909201486688,0.06547883971592783,0.010235909201486688,0.022016681582704867,0.04594554662324047,0.011143057434624922,0.032429680687434286,0.005491357316603329,0.0228961496111492,0.0027437150653955023,0.0161757675405077,0.9999879219351242,0.999987921935124,0.07445150860269889,0.0012980257451764823,0.10117267023009073,1.905848850793201e-06,6.831917606630955,0.514209434846134,1.0,1.0,1.0,1.0
