Timestamp,Price,Signal,OrderStatus,Side,ProductID,PositionAfter
2026-01-05 01:12:05,91041.11466474,hold,hold,,,0
2026-01-05 01:13:25,91052.94792796,hold,hold,,,0
2026-01-05 01:14:45,91033.66756448,hold,hold,,,0
2026-01-05 01:16:04,91036.23472587,hold,hold,,,0
2026-01-05 01:22:36,91077.59649521,hold,hold,,,0
2026-01-05 01:23:38,91069.61690127,hold,hold,,,0
2026-01-05 01:24:41,91076.59865625,hold,hold,,,0
2026-01-05 01:25:16,91084.03456803,buy,hold,,,0
2026-01-05 01:26:19,91113.68762033,buy,hold,,,0
2026-01-05 01:27:23,91124.85525493,buy,hold,,,0
2026-01-05 01:28:26,91127.6664196,buy,hold,,,0
2026-01-05 01:29:29,91104.12670905,buy,hold,,,0
2026-01-05 01:30:06,91105.2110351,buy,hold,,,0
2026-01-05 01:31:09,91100.23530429,buy,hold,,,0
2026-01-05 01:31:50,91094.9328909,buy,hold,,,0
2026-01-05 01:32:52,91132.8453744,buy,hold,,,0
2026-01-05 01:33:34,91131.50255851,buy,hold,,,0
2026-01-05 01:33:55,91135.03098936,buy,hold,,,0
2026-01-05 01:34:40,91124.00020507,buy,hold,,,0
2026-01-05 01:35:01,91102.10772287,buy,hold,,,0
2026-01-05 01:35:46,91111.75564433,buy,hold,,,0
2026-01-05 01:36:07,91111.80014768,buy,hold,,,0
2026-01-05 01:36:51,91092.73380875,buy,hold,,,0
2026-01-05 01:37:12,91108.5741362,buy,hold,,,0
2026-01-05 01:37:57,91182.22096397,buy,hold,,,0
2026-01-05 01:38:17,91173.74766572,buy,hold,,,0
2026-01-05 01:39:03,91173.51840462,buy,hold,,,0
2026-01-05 01:39:24,91170.61809954,buy,hold,,,0
2026-01-05 01:40:10,91159.69444952,buy,hold,,,0
2026-01-05 01:40:31,91184.83619385,buy,hold,,,0
2026-01-05 01:41:17,91211.84763943,buy,hold,,,0
2026-01-05 01:41:38,91211.69455892,buy,hold,,,0
2026-01-05 01:42:24,91214.46847265,buy,hold,,,0
2026-01-05 01:42:44,91210.40718451,buy,hold,,,0
2026-01-05 01:43:31,91244.07575767,buy,hold,,,0
2026-01-05 01:43:51,91245.59087516,buy,hold,,,0
2026-01-05 01:44:39,91219.81154251,buy,hold,,,0
2026-01-05 01:44:58,91224.90108403,buy,hold,,,0
2026-01-05 01:45:45,91202.84623874,buy,hold,,,0
2026-01-05 01:46:04,91208.75310842,buy,hold,,,0
2026-01-05 01:47:01,91203.38856149,buy,hold,,,0
2026-01-05 01:47:08,91203.69369424,buy,hold,,,0
2026-01-05 01:48:07,91225.51165264,buy,hold,,,0
2026-01-05 01:48:14,91232.68953176,buy,hold,,,0
2026-01-05 01:49:19,91222.95096577,buy,hold,,,0
2026-01-05 01:49:20,91229.20383291,buy,hold,,,0
2026-01-05 01:50:25,91213.53825839,buy,hold,,,0
2026-01-05 01:50:27,91218.52847573,buy,hold,,,0
2026-01-05 01:51:32,91221.41393175,buy,hold,,,0
2026-01-05 01:51:35,91228.05324916,buy,hold,,,0
2026-01-05 01:52:40,91220.09139634,buy,hold,,,0
2026-01-05 01:52:43,91227.04760991,buy,hold,,,0
2026-01-05 01:54:04,91225.56896989,buy,hold,,,0
2026-01-05 01:54:04,91231.88041587,buy,hold,,,0
2026-01-05 01:55:12,91225.87221101,buy,hold,,,0
2026-01-05 01:55:13,91232.82401291,buy,hold,,,0
2026-01-05 01:56:19,91255.60083919,buy,hold,,,0
2026-01-05 01:56:21,91259.83613849,buy,hold,,,0
2026-01-05 01:57:27,91269.37100277,buy,hold,,,0
2026-01-05 01:57:29,91265.39634172,buy,hold,,,0
2026-01-05 01:58:34,91289.00715427,buy,hold,,,0
2026-01-05 01:58:37,91309.75592021,buy,hold,,,0
2026-01-05 01:59:39,91305.47923951,buy,hold,,,0
2026-01-05 01:59:44,91312.17569563,buy,hold,,,0
2026-01-05 02:00:44,91263.74791442,buy,hold,,,0
2026-01-05 02:00:49,91260.21607359,buy,hold,,,0
2026-01-05 02:01:49,91248.29817231,buy,hold,,,0
2026-01-05 02:01:54,91243.38118388,buy,hold,,,0
2026-01-05 02:02:53,91242.56414284,buy,hold,,,0
2026-01-05 02:02:59,91248.37187559,buy,hold,,,0
2026-01-05 02:03:57,91275.12804064,buy,hold,,,0
2026-01-05 02:04:03,91280.22218421,buy,hold,,,0
2026-01-05 02:05:01,91248.7945447,buy,hold,,,0
2026-01-05 02:05:08,91255.5805819,buy,hold,,,0
2026-01-05 02:06:04,91282.99533741,buy,hold,,,0
2026-01-05 02:06:12,91290.26782384,buy,hold,,,0
2026-01-05 02:07:08,91278.10680591,buy,hold,,,0
2026-01-05 02:07:16,91284.60042707,buy,hold,,,0
2026-01-05 02:08:13,91261.84741735,buy,hold,,,0
2026-01-05 02:08:20,91276.95805192,buy,hold,,,0
2026-01-05 02:09:16,91290.39941896,buy,hold,,,0
2026-01-05 02:09:23,91300.55208591,buy,hold,,,0
2026-01-05 02:10:19,91288.70049093,buy,hold,,,0
2026-01-05 02:10:27,91295.73389034,buy,hold,,,0
2026-01-05 02:11:23,91285.26233213,buy,hold,,,0
2026-01-05 02:11:32,91288.69687465,buy,hold,,,0
2026-01-05 02:12:27,91253.96965243,buy,hold,,,0
2026-01-05 02:12:37,91259.32998788,buy,hold,,,0
2026-01-05 02:13:32,91260.60958534,buy,hold,,,0
2026-01-05 02:13:42,91266.81340214,buy,hold,,,0
2026-01-05 02:14:36,91252.84201841,buy,hold,,,0
2026-01-05 02:14:46,91258.71527883,buy,hold,,,0
2026-01-05 02:15:40,91228.95434467,buy,hold,,,0
2026-01-05 02:15:50,91227.12863573,buy,hold,,,0
2026-01-05 02:16:43,91226.12653681,buy,hold,,,0
2026-01-05 02:16:54,91232.63821146,buy,hold,,,0
2026-01-05 02:17:47,91227.60334054,buy,hold,,,0
2026-01-05 02:17:58,91258.13097863,buy,hold,,,0
2026-01-05 02:18:50,91247.66771593,buy,hold,,,0
2026-01-05 02:19:02,91254.56619973,buy,hold,,,0
2026-01-05 02:19:54,91244.27761236,buy,hold,,,0
